date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:49:07	102318/102318	---M--	200	added ('OK')	image/jpeg	etag:%2218fae-6409d536-7b410fa8ee30a08;;;%22	https://www.ganeshthread.com/images/products/cotton-yarn/4.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/products/cotton-yarn/4.jpg	(from https://www.ganeshthread.com/cotton-yarn.php)
15:49:07	146806/146806	---M--	200	added ('OK')	image/jpeg	etag:%2223d76-6409d564-532c25a2ffd345d7;;;%22	https://www.ganeshthread.com/images/products/cotton-yarn/5.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/products/cotton-yarn/5.jpg	(from https://www.ganeshthread.com/cotton-yarn.php)
15:49:08	74669/74669	---M--	200	added ('OK')	image/jpeg	etag:%22123ad-6409d5aa-2f476403f3d3acb5;;;%22	https://www.ganeshthread.com/images/products/cotton-yarn/7.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/products/cotton-yarn/7.jpg	(from https://www.ganeshthread.com/cotton-yarn.php)
15:49:08	93945/93945	---M--	200	added ('OK')	image/jpeg	etag:%2216ef9-6409d582-6e103492558de93c;;;%22	https://www.ganeshthread.com/images/products/cotton-yarn/6.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/products/cotton-yarn/6.jpg	(from https://www.ganeshthread.com/cotton-yarn.php)
15:49:08	57859/57859	---M--	200	added ('OK')	image/jpeg	etag:%22e203-60fe85d4-b94a7117b3112422;;;%22	https://www.ganeshthread.com/images/products/mettalic/mettalic-roll.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/products/mettalic/mettalic-roll.jpg	(from https://www.ganeshthread.com/metallic-film.php)
15:49:08	50670/50670	---M--	200	added ('OK')	image/jpeg	etag:%22c5ee-60fe8588-4879378e3e8bf6ac;;;%22	https://www.ganeshthread.com/images/products/mettalic/cutting-mettalic.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/products/mettalic/cutting-mettalic.jpg	(from https://www.ganeshthread.com/metallic-film.php)
15:49:09	279414/279414	---M--	200	added ('OK')	image/jpeg	etag:%2244376-6112590a-220cbb70e7ceb802;;;%22	https://www.ganeshthread.com/images/metalic-machine.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/metalic-machine.jpg	(from https://www.ganeshthread.com/metallic-film.php)
15:49:09	63337/63337	---M--	200	added ('OK')	image/jpeg	etag:%22f769-60b511a4-f611ba9581dd0b0d;;;%22	https://www.ganeshthread.com/images/products/mettalic/lacquer-metalized-film.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/products/mettalic/lacquer-metalized-film.jpg	(from https://www.ganeshthread.com/metallic-film.php)
15:49:09	55691/55691	---M--	200	added ('OK')	image/jpeg	etag:%22d98b-60b51188-b43d70bba546edfb;;;%22	https://www.ganeshthread.com/images/products/mettalic/clear-film.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/products/mettalic/clear-film.jpg	(from https://www.ganeshthread.com/metallic-film.php)
15:49:09	44917/44917	---M--	200	added ('OK')	image/jpeg	etag:%22af75-60fe876a-93e7e6c92429b4b5;;;%22	https://www.ganeshthread.com/images/products/viscose/100-viscose-con.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/products/viscose/100-viscose-con.jpg	(from https://www.ganeshthread.com/viscose-yarn.php)
15:49:10	119765/119765	---M--	200	added ('OK')	image/jpeg	etag:%221d3d5-60b51476-c1982a1637cc4162;;;%22	https://www.ganeshthread.com/images/products/viscose/100-viscose-hank.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/products/viscose/100-viscose-hank.jpg	(from https://www.ganeshthread.com/viscose-yarn.php)
15:49:10	52708/52708	---M--	200	added ('OK')	image/jpeg	etag:%22cde4-60a671e0-aa0968ba580541eb;;;%22	https://www.ganeshthread.com/images/products/viscose/viscose-rayon.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/products/viscose/viscose-rayon.jpg	(from https://www.ganeshthread.com/viscose-yarn.php)
15:49:10	19447/19447	---M--	200	added ('OK')	image/jpeg	etag:%224bf7-60a66b22-475dac317369c84e;;;%22	https://www.ganeshthread.com/images/products/embroidery-yarn/polyster-thread.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/products/embroidery-yarn/polyster-thread.jpg	(from https://www.ganeshthread.com/embroidery-thread.php)
15:49:10	17633/17633	---M--	200	added ('OK')	image/jpeg	etag:%2244e1-60a66b1e-91eb6f9f0cd5495c;;;%22	https://www.ganeshthread.com/images/products/embroidery-yarn/lichi-ambroidery-thread.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/products/embroidery-yarn/lichi-ambroidery-thread.jpg	(from https://www.ganeshthread.com/embroidery-thread.php)
15:49:11	16393/16393	---M--	200	added ('OK')	image/jpeg	etag:%224009-60a66b1a-de8862644cf76216;;;%22	https://www.ganeshthread.com/images/products/embroidery-yarn/viscoss-embroidery-thread.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/products/embroidery-yarn/viscoss-embroidery-thread.jpg	(from https://www.ganeshthread.com/embroidery-thread.php)
15:49:11	32925/32925	---M--	200	added ('OK')	image/jpeg	etag:%22809d-610bd490-e3848585784db342;;;%22	https://www.ganeshthread.com/images/products/embroidery-yarn/cotton-embroidery-thread.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/products/embroidery-yarn/cotton-embroidery-thread.jpg	(from https://www.ganeshthread.com/embroidery-thread.php)
15:49:12	92188/92188	---M--	200	added ('OK')	image/jpeg	etag:%221681c-610bd6d4-14b9ac18589d5487;;;%22	https://www.ganeshthread.com/images/products/embroidery-yarn/jarman-embroidery-thread.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/products/embroidery-yarn/jarman-embroidery-thread.jpg	(from https://www.ganeshthread.com/embroidery-thread.php)
15:49:13	230130/230130	---M--	200	added ('OK')	image/jpeg	etag:%22382f2-60eed26a-ea7fb55701172d98;;;%22	https://www.ganeshthread.com/images/gallery/3.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/gallery/3.jpg	(from https://www.ganeshthread.com/photo-gallery.php)
15:49:13	288809/288809	---M--	200	added ('OK')	image/jpeg	etag:%2246829-60eed252-a8896bceb859b19a;;;%22	https://www.ganeshthread.com/images/gallery/2.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/gallery/2.jpg	(from https://www.ganeshthread.com/photo-gallery.php)
15:49:14	295930/295930	---M--	200	added ('OK')	image/jpeg	etag:%22483fa-60eed1d2-87b5ddd33c4cc325;;;%22	https://www.ganeshthread.com/images/gallery/1.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/gallery/1.jpg	(from https://www.ganeshthread.com/photo-gallery.php)
15:49:14	193840/193840	---M--	200	added ('OK')	image/jpeg	etag:%222f530-60eed35a-fe492bb58f1425bc;;;%22	https://www.ganeshthread.com/images/gallery/14.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/gallery/14.jpg	(from https://www.ganeshthread.com/photo-gallery.php)
15:49:14	157418/157418	---M--	200	added ('OK')	image/jpeg	etag:%22266ea-60eed290-6cecfaa344318f79;;;%22	https://www.ganeshthread.com/images/gallery/4.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/gallery/4.jpg	(from https://www.ganeshthread.com/photo-gallery.php)
15:49:15	179176/179176	---M--	200	added ('OK')	image/jpeg	etag:%222bbe8-60eed38c-3e50490a65b7ab2f;;;%22	https://www.ganeshthread.com/images/gallery/16.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/gallery/16.jpg	(from https://www.ganeshthread.com/photo-gallery.php)
15:49:15	215436/215436	---M--	200	added ('OK')	image/jpeg	etag:%223498c-60eed370-32240013f5c886a8;;;%22	https://www.ganeshthread.com/images/gallery/15.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/gallery/15.jpg	(from https://www.ganeshthread.com/photo-gallery.php)
15:49:15	172808/172808	---M--	200	added ('OK')	image/jpeg	etag:%222a308-60eed2b2-5d5868e3736143eb;;;%22	https://www.ganeshthread.com/images/gallery/6.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/gallery/6.jpg	(from https://www.ganeshthread.com/photo-gallery.php)
15:49:15	170777/170777	---M--	200	added ('OK')	image/jpeg	etag:%2229b19-60eed2a0-362348b516a7166d;;;%22	https://www.ganeshthread.com/images/gallery/5.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/gallery/5.jpg	(from https://www.ganeshthread.com/photo-gallery.php)
15:49:16	231012/231012	---M--	200	added ('OK')	image/jpeg	etag:%2238664-60eed2c6-ede17ddae829ba9c;;;%22	https://www.ganeshthread.com/images/gallery/7.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/gallery/7.jpg	(from https://www.ganeshthread.com/photo-gallery.php)
15:49:17	189152/189152	---M--	200	added ('OK')	image/jpeg	etag:%222e2e0-60eed342-c3be253b41f7290e;;;%22	https://www.ganeshthread.com/images/gallery/13.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/gallery/13.jpg	(from https://www.ganeshthread.com/photo-gallery.php)
15:49:17	360747/360747	---M--	200	added ('OK')	image/jpeg	etag:%225812b-60eed31e-e95ecaa275885f5a;;;%22	https://www.ganeshthread.com/images/gallery/11.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/gallery/11.jpg	(from https://www.ganeshthread.com/photo-gallery.php)
15:49:17	447740/447740	---M--	200	added ('OK')	image/jpeg	etag:%226d4fc-60eeefce-8ef51f389282f363;;;%22	https://www.ganeshthread.com/images/gallery/17.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/gallery/17.jpg	(from https://www.ganeshthread.com/photo-gallery.php)
15:49:18	345207/345207	---M--	200	added ('OK')	image/jpeg	etag:%2254477-60eef004-240b72c41b77c8fb;;;%22	https://www.ganeshthread.com/images/gallery/18.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/gallery/18.jpg	(from https://www.ganeshthread.com/photo-gallery.php)
15:49:20	280348/280348	---M--	200	added ('OK')	image/jpeg	etag:%224471c-60eef050-7fcbcec89a83fccb;;;%22	https://www.ganeshthread.com/images/gallery/19.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/gallery/19.jpg	(from https://www.ganeshthread.com/photo-gallery.php)
15:49:21	707122/707122	---M--	200	added ('OK')	image/jpeg	etag:%22aca32-60eeee70-4c7ece5964f239ed;;;%22	https://www.ganeshthread.com/images/gallery/20.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/gallery/20.jpg	(from https://www.ganeshthread.com/photo-gallery.php)
15:49:21	18310/18310	---M-Z	200	added ('OK')	text/css	etag:%224786-601418ae-34ec3b268374d617;gz%22	https://www.ganeshthread.com/css/jquery.fancybox.css	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/css/jquery.fancybox.css	(from https://www.ganeshthread.com/videos.php)
15:49:21	87916/87916	---M--	200	added ('OK')	image/jpeg	etag:%221576c-60a68448-1a8a7c69782c631b;;;%22	https://www.ganeshthread.com/images/video-poster/video-poster1.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/video-poster/video-poster1.jpg	(from https://www.ganeshthread.com/videos.php)
15:49:22	96958/96958	---M--	200	added ('OK')	image/jpeg	etag:%2217abe-60a67cba-fc3ec1fe0ac60756;;;%22	https://www.ganeshthread.com/images/video-poster/video-poster3.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/video-poster/video-poster3.jpg	(from https://www.ganeshthread.com/videos.php)
15:49:22	74832/74832	---M--	200	added ('OK')	image/jpeg	etag:%2212450-60a67d6e-46df85ea9d3d562c;;;%22	https://www.ganeshthread.com/images/video-poster/video-poster2.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/video-poster/video-poster2.jpg	(from https://www.ganeshthread.com/videos.php)
15:49:22	90051/90051	---M--	200	added ('OK')	image/jpeg	etag:%2215fc3-60a67c5e-4196b3bdb1a855de;;;%22	https://www.ganeshthread.com/images/video-poster/video-poster4.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/video-poster/video-poster4.jpg	(from https://www.ganeshthread.com/videos.php)
15:49:22	437482/437482	---M--	200	added ('OK')	image/jpeg	etag:%226acea-60eeeea0-3c95416b50d31726;;;%22	https://www.ganeshthread.com/images/gallery/21.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/gallery/21.jpg	(from https://www.ganeshthread.com/photo-gallery.php)
15:49:23	498289/498289	---M--	200	added ('OK')	image/jpeg	etag:%2279a71-60eeeebc-1b2f7318bdc62475;;;%22	https://www.ganeshthread.com/images/gallery/22.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/gallery/22.jpg	(from https://www.ganeshthread.com/photo-gallery.php)
15:49:23	63951/63951	---M--	200	added ('OK')	image/jpeg	etag:%22f9cf-60a67c32-5770bb71f9ea6803;;;%22	https://www.ganeshthread.com/images/video-poster/video-poster5.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/video-poster/video-poster5.jpg	(from https://www.ganeshthread.com/videos.php)
15:49:23	57083/57083	---M--	200	added ('OK')	image/jpeg	etag:%22defb-60a6846c-386244193852d329;;;%22	https://www.ganeshthread.com/images/video-poster/video-poster6.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/video-poster/video-poster6.jpg	(from https://www.ganeshthread.com/videos.php)
15:49:24	57107/57107	---M--	200	added ('OK')	image/jpeg	etag:%22df13-611265a6-56973bd214e5e5e1;;;%22	https://www.ganeshthread.com/images/video-poster/video-poster7.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/video-poster/video-poster7.jpg	(from https://www.ganeshthread.com/videos.php)
15:49:24	73052/73052	---M--	200	added ('OK')	image/jpeg	etag:%2211d5c-61126634-bd69d1b32776de59;;;%22	https://www.ganeshthread.com/images/video-poster/video-poster8.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/video-poster/video-poster8.jpg	(from https://www.ganeshthread.com/videos.php)
15:49:24	59262/59262	---M--	200	added ('OK')	image/jpeg	etag:%22e77e-611266b0-d1e5139e4969b270;;;%22	https://www.ganeshthread.com/images/video-poster/video-poster9.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/video-poster/video-poster9.jpg	(from https://www.ganeshthread.com/videos.php)
15:49:24	73721/73721	---M--	200	added ('OK')	image/jpeg	etag:%2211ff9-6112676a-8711cb902b2facbc;;;%22	https://www.ganeshthread.com/images/video-poster/video-poster10.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/video-poster/video-poster10.jpg	(from https://www.ganeshthread.com/videos.php)
15:49:25	40304/40304	---M--	200	added ('OK')	image/jpeg	etag:%229d70-61126836-2a8ed49f51c1aff6;;;%22	https://www.ganeshthread.com/images/video-poster/video-poster12.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/video-poster/video-poster12.jpg	(from https://www.ganeshthread.com/videos.php)
15:49:25	98364/98364	---M--	200	added ('OK')	image/jpeg	etag:%221803c-611267dc-6fde0549b05e782d;;;%22	https://www.ganeshthread.com/images/video-poster/video-poster11.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/video-poster/video-poster11.jpg	(from https://www.ganeshthread.com/videos.php)
15:49:26	160667/160667	---M-Z	200	added ('OK')	application/javascript	etag:%222739b-5ca6123a-8562a5c633731804;gz%22	https://www.ganeshthread.com/js/jquery.fancybox.js	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/js/jquery.fancybox.js	(from https://www.ganeshthread.com/videos.php)
15:49:26	24830/24830	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Jun%202024%2010:19:27%20GMT	https://www.ganeshthread.com/bangladesh-exhibition.php	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/bangladesh-exhibition.html	(from https://www.ganeshthread.com/exhibition.php)
15:49:27	27881/27881	---M-Z	200	added ('OK')	text/html	date:Mon,%2024%20Jun%202024%2010:19:27%20GMT	https://www.ganeshthread.com/surat-exhibition.php	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/surat-exhibition.html	(from https://www.ganeshthread.com/exhibition.php)
15:49:27	399065/399065	---M--	200	added ('OK')	image/jpeg	etag:%22616d9-6409ce6a-23ee6e3ef41629c;;;%22	https://www.ganeshthread.com/images/exhibition/bangladesh-exibition/0.jpg	C:/Users/HET%20SAVALIYA/OneDrive/Desktop/koll/www.ganeshthread.com/images/exhibition/bangladesh-exibition/0.jpg	(from https://www.ganeshthread.com/exhibition.php)
